,precision,recall,f1-score,support
0,0.9565217391304348,1.0,0.9777777777777777,22.0
1,0.0,0.0,0.0,3.0
2,0.0,0.0,0.0,17.0
3,0.8,0.8,0.8000000000000002,10.0
4,0.5,0.7777777777777778,0.6086956521739131,9.0
5,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
6,1.0,1.0,1.0,15.0
7,0.5454545454545454,0.6666666666666666,0.6,18.0
8,0.7111111111111111,0.8205128205128205,0.7619047619047619,39.0
9,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0
10,0.8518518518518519,0.9583333333333334,0.9019607843137256,24.0
11,1.0,1.0,1.0,4.0
12,1.0,1.0,1.0,2.0
13,0.9230769230769231,0.9230769230769231,0.9230769230769231,26.0
14,0.7368421052631579,0.9333333333333333,0.8235294117647058,15.0
15,1.0,1.0,1.0,1.0
16,0.9333333333333333,0.875,0.9032258064516129,16.0
17,0.2,1.0,0.33333333333333337,1.0
18,0.9545454545454546,1.0,0.9767441860465117,21.0
19,0.53125,0.68,0.5964912280701754,25.0
20,0.8888888888888888,0.8695652173913043,0.8791208791208792,46.0
21,0.8484848484848485,0.9655172413793104,0.9032258064516129,29.0
22,1.0,1.0,1.0,24.0
23,0.7017543859649122,0.7407407407407407,0.7207207207207207,54.0
24,0.7777777777777778,1.0,0.8750000000000001,7.0
25,0.5555555555555556,0.8333333333333334,0.6666666666666667,6.0
26,0.3333333333333333,0.02,0.03773584905660377,50.0
27,0.90625,0.9354838709677419,0.9206349206349206,31.0
28,0.5,1.0,0.6666666666666666,3.0
29,1.0,1.0,1.0,4.0
30,0.8,0.8484848484848485,0.823529411764706,33.0
31,0.696969696969697,0.7931034482758621,0.7419354838709677,29.0
32,0.9629629629629629,0.9285714285714286,0.9454545454545454,56.0
33,0.6494845360824743,0.8181818181818182,0.7241379310344828,77.0
34,0.42857142857142855,0.8571428571428571,0.5714285714285714,7.0
35,0.8125,0.9629629629629629,0.8813559322033898,27.0
36,0.675,0.75,0.7105263157894738,36.0
37,0.38095238095238093,1.0,0.5517241379310345,8.0
38,0.9,0.9,0.9,10.0
39,0.6304347826086957,0.5686274509803921,0.5979381443298969,51.0
40,0.1111111111111111,0.6666666666666666,0.1904761904761905,3.0
41,0.7192982456140351,0.8913043478260869,0.7961165048543689,46.0
