,precision,recall,f1-score,support
14550,0.0,0.0,0.0,8.0
14551,0.0,0.0,0.0,17.0
14553,0.0,0.0,0.0,1.0
14559,0.0,0.0,0.0,11.0
14597,0.0,0.0,0.0,10.0
14600,0.0,0.0,0.0,3.0
14611,1.0,0.2,0.33333333333333337,20.0
14612,0.0,0.0,0.0,7.0
14613,0.0,0.0,0.0,2.0
14614,1.0,0.22916666666666666,0.37288135593220334,48.0
14615,0.0,0.0,0.0,10.0
14674,0.9285714285714286,0.48148148148148145,0.6341463414634146,27.0
14676,0.0,0.0,0.0,11.0
14677,0.0,0.0,0.0,5.0
14678,0.0,0.0,0.0,1.0
14679,0.0,0.0,0.0,2.0
14680,0.0,0.0,0.0,11.0
14681,0.8571428571428571,0.12,0.21052631578947367,50.0
14682,0.0,0.0,0.0,15.0
14683,0.0,0.0,0.0,26.0
14685,0.0,0.0,0.0,36.0
14686,0.0,0.0,0.0,21.0
14687,0.0,0.0,0.0,18.0
14688,1.0,0.027777777777777776,0.05405405405405406,36.0
14689,0.0,0.0,0.0,5.0
14706,0.0,0.0,0.0,8.0
14732,0.0,0.0,0.0,4.0
14740,0.0,0.0,0.0,2.0
14741,0.0,0.0,0.0,18.0
14742,0.0,0.0,0.0,30.0
14746,0.0,0.0,0.0,3.0
14861,0.0,0.0,0.0,5.0
14862,0.0,0.0,0.0,3.0
14867,1.0,0.07692307692307693,0.14285714285714288,26.0
14868,0.0,0.0,0.0,14.0
14869,0.0,0.0,0.0,16.0
14870,0.0,0.0,0.0,4.0
14871,0.0,0.0,0.0,7.0
14872,0.0,0.0,0.0,4.0
14873,0.0,0.0,0.0,16.0
14874,0.0,0.0,0.0,39.0
14875,0.0,0.0,0.0,19.0
14876,1.0,0.10526315789473684,0.1904761904761905,19.0
14911,0.0,0.0,0.0,5.0
14922,0.4985302763080541,0.9571106094808126,0.655585620409741,886.0
14923,0.0,0.0,0.0,51.0
14924,1.0,0.038461538461538464,0.07407407407407407,26.0
14927,0.8048780487804879,0.35106382978723405,0.4888888888888889,94.0
14929,0.0,0.0,0.0,11.0
14930,0.0,0.0,0.0,33.0
14931,0.0,0.0,0.0,2.0
14933,0.0,0.0,0.0,14.0
14934,0.0,0.0,0.0,2.0
14938,0.0,0.0,0.0,46.0
14940,0.0,0.0,0.0,5.0
14941,1.0,0.07407407407407407,0.13793103448275862,27.0
14942,0.0,0.0,0.0,12.0
14945,0.0,0.0,0.0,12.0
14963,1.0,0.09523809523809523,0.17391304347826084,21.0
14968,0.0,0.0,0.0,3.0
14969,1.0,0.3125,0.47619047619047616,32.0
14970,1.0,0.17647058823529413,0.3,34.0
14981,0.0,0.0,0.0,7.0
14989,0.0,0.0,0.0,3.0
14990,0.0,0.0,0.0,4.0
15023,1.0,0.125,0.2222222222222222,16.0
15024,1.0,0.022727272727272728,0.044444444444444446,44.0
15025,0.0,0.0,0.0,35.0
15026,0.0,0.0,0.0,5.0
15027,0.0,0.0,0.0,15.0
15033,0.0,0.0,0.0,31.0
15034,1.0,0.0425531914893617,0.08163265306122448,47.0
