,precision,recall,f1-score,support
14391,0.0,0.0,0.0,27.0
14398,0.0,0.0,0.0,3.0
14500,0.0,0.0,0.0,10.0
14502,0.0,0.0,0.0,6.0
14503,0.0,0.0,0.0,26.0
14538,0.0,0.0,0.0,2.0
14539,0.0,0.0,0.0,27.0
14540,0.0,0.0,0.0,13.0
14541,1.0,0.7101449275362319,0.8305084745762712,69.0
14546,0.0,0.0,0.0,16.0
14547,0.0,0.0,0.0,1.0
14548,0.0,0.0,0.0,1.0
14549,0.0,0.0,0.0,5.0
14550,0.0,0.0,0.0,8.0
14551,0.0,0.0,0.0,17.0
14553,0.0,0.0,0.0,1.0
14559,0.0,0.0,0.0,11.0
14597,0.0,0.0,0.0,10.0
14600,0.0,0.0,0.0,3.0
14611,0.0,0.0,0.0,20.0
14612,0.0,0.0,0.0,7.0
14613,0.0,0.0,0.0,2.0
14614,1.0,0.041666666666666664,0.07999999999999999,48.0
14615,0.0,0.0,0.0,10.0
14674,1.0,0.37037037037037035,0.5405405405405406,27.0
14676,0.0,0.0,0.0,11.0
14677,0.0,0.0,0.0,5.0
14678,0.0,0.0,0.0,1.0
14679,0.0,0.0,0.0,2.0
14680,0.0,0.0,0.0,11.0
14681,0.0,0.0,0.0,50.0
14682,0.0,0.0,0.0,15.0
14683,0.0,0.0,0.0,26.0
14685,0.0,0.0,0.0,36.0
14686,0.0,0.0,0.0,21.0
14687,0.0,0.0,0.0,18.0
14688,0.0,0.0,0.0,36.0
14689,0.0,0.0,0.0,5.0
14706,0.0,0.0,0.0,8.0
14732,0.0,0.0,0.0,4.0
14740,0.0,0.0,0.0,2.0
14741,0.0,0.0,0.0,18.0
14742,0.0,0.0,0.0,30.0
14746,0.0,0.0,0.0,3.0
14861,0.0,0.0,0.0,5.0
14862,0.0,0.0,0.0,3.0
14867,1.0,0.07692307692307693,0.14285714285714288,26.0
14868,0.0,0.0,0.0,14.0
14869,0.0,0.0,0.0,16.0
14870,0.0,0.0,0.0,4.0
14871,0.0,0.0,0.0,7.0
14872,0.0,0.0,0.0,4.0
14873,0.0,0.0,0.0,16.0
14874,0.0,0.0,0.0,39.0
14875,0.0,0.0,0.0,19.0
14876,0.0,0.0,0.0,19.0
14911,0.0,0.0,0.0,5.0
14922,0.5138221153846154,0.9650112866817155,0.6705882352941176,886.0
14923,0.0,0.0,0.0,51.0
14924,0.0,0.0,0.0,26.0
14927,0.9166666666666666,0.23404255319148937,0.3728813559322034,94.0
14929,0.0,0.0,0.0,11.0
14930,0.0,0.0,0.0,33.0
14931,0.0,0.0,0.0,2.0
14933,0.0,0.0,0.0,14.0
14934,0.0,0.0,0.0,2.0
14938,0.0,0.0,0.0,46.0
14940,0.0,0.0,0.0,5.0
14941,0.0,0.0,0.0,27.0
14942,0.0,0.0,0.0,12.0
14945,0.0,0.0,0.0,12.0
14963,0.0,0.0,0.0,21.0
14968,0.0,0.0,0.0,3.0
14969,0.0,0.0,0.0,32.0
