,precision,recall,f1-score,support
11717,0.0,0.0,0.0,10.0
11731,0.0,0.0,0.0,29.0
11733,0.0,0.0,0.0,6.0
11735,0.0,0.0,0.0,12.0
11743,0.0,0.0,0.0,9.0
11749,0.0,0.0,0.0,1.0
11752,0.0,0.0,0.0,2.0
11756,1.0,0.017241379310344827,0.03389830508474576,58.0
11757,0.9090909090909091,0.2702702702702703,0.4166666666666667,185.0
11762,0.0,0.0,0.0,31.0
11764,0.0,0.0,0.0,7.0
11774,0.0,0.0,0.0,23.0
11778,0.0,0.0,0.0,16.0
11782,0.0,0.0,0.0,1.0
11790,0.0,0.0,0.0,72.0
11805,1.0,0.06896551724137931,0.12903225806451613,29.0
11818,0.0,0.0,0.0,1.0
11820,0.0,0.0,0.0,4.0
11824,0.0,0.0,0.0,2.0
11825,0.0,0.0,0.0,24.0
11826,0.0,0.0,0.0,21.0
11828,0.0,0.0,0.0,15.0
11836,0.0,0.0,0.0,18.0
11838,0.0,0.0,0.0,24.0
11846,0.0,0.0,0.0,11.0
11847,0.0,0.0,0.0,4.0
11848,0.0,0.0,0.0,5.0
11850,0.0,0.0,0.0,3.0
11861,0.0,0.0,0.0,35.0
11864,0.0,0.0,0.0,10.0
11875,0.0,0.0,0.0,1.0
11879,0.0,0.0,0.0,2.0
11881,0.0,0.0,0.0,24.0
11889,0.0,0.0,0.0,19.0
11896,0.0,0.0,0.0,16.0
11897,0.0,0.0,0.0,5.0
11899,0.0,0.0,0.0,7.0
11901,0.0,0.0,0.0,3.0
11902,0.0,0.0,0.0,10.0
11904,0.0,0.0,0.0,9.0
11913,0.0,0.0,0.0,1.0
11924,0.0,0.0,0.0,31.0
11928,0.0,0.0,0.0,1.0
11930,0.0,0.0,0.0,13.0
11931,1.0,0.021739130434782608,0.042553191489361694,46.0
11934,0.0,0.0,0.0,11.0
11935,0.0,0.0,0.0,2.0
11937,0.1968039336201598,0.9901051329622759,0.3283429040196883,1617.0
11939,1.0,0.03125,0.06060606060606061,32.0
11942,0.0,0.0,0.0,4.0
11956,0.45962732919254656,0.3894736842105263,0.42165242165242167,190.0
11958,0.0,0.0,0.0,3.0
11961,0.0,0.0,0.0,2.0
11962,1.0,0.07692307692307693,0.14285714285714288,13.0
11967,0.0,0.0,0.0,14.0
11968,0.0,0.0,0.0,7.0
11975,0.0,0.0,0.0,7.0
11977,0.0,0.0,0.0,1.0
11978,0.0,0.0,0.0,24.0
11980,0.0,0.0,0.0,5.0
11983,0.0,0.0,0.0,2.0
11987,0.0,0.0,0.0,3.0
11988,0.0,0.0,0.0,1.0
11998,0.0,0.0,0.0,8.0
11999,1.0,0.06666666666666667,0.125,30.0
12001,0.0,0.0,0.0,7.0
12004,0.0,0.0,0.0,12.0
12024,1.0,0.05263157894736842,0.1,19.0
12039,0.0,0.0,0.0,6.0
12044,1.0,0.015873015873015872,0.03125,63.0
12045,0.0,0.0,0.0,21.0
12049,0.6,0.17142857142857143,0.26666666666666666,140.0
12052,0.0,0.0,0.0,10.0
12053,0.0,0.0,0.0,2.0
12062,0.0,0.0,0.0,19.0
12069,0.0,0.0,0.0,2.0
12076,0.0,0.0,0.0,30.0
